Income,Fixed Expenses,Discretionary Expenses,Savings,Risk Tolerance,Financial Goal
3000,1200,800,1000,Low (1),Emergency Fund
4000,1500,1000,1500,Medium (2),Vacation Savings
5000,2000,1200,1800,High (3),Retirement Savings
4500,1800,1100,1600,Medium (2),Down Payment
3500,1400,900,1200,Low (1),Emergency Fund
6000,2500,1500,2000,High (3),Investment Portfolio
7000,3000,2000,2000,High (3),Real Estate Investment
3200,1200,800,1200,Medium (2),Vacation Savings
8000,3500,2000,2500,High (3),Investment Portfolio
4200,1700,1000,1500,Medium (2),Down Payment
3800,1400,1100,1300,Low (1),Emergency Fund
5000,2100,1300,1600,High (3),Investment Portfolio
4700,1800,1100,1800,Medium (2),Retirement Savings
4500,1600,1000,1900,Medium (2),Down Payment
5400,2000,1400,2000,High (3),Real Estate Investment
3000,1200,800,1000,Low (1),Emergency Fund
4000,1500,1000,1500,Medium (2),Vacation Savings
5000,2000,1200,1800,High (3),Retirement Savings
4500,1800,1100,1600,Medium (2),Down Payment
3500,1400,900,1200,Low (1),Emergency Fund
6000,2500,1500,2000,High (3),Investment Portfolio
7000,3000,2000,2000,High (3),Real Estate Investment
3200,1200,800,1200,Medium (2),Vacation Savings
8000,3500,2000,2500,High (3),Investment Portfolio
4200,1700,1000,1500,Medium (2),Down Payment
3800,1400,1100,1300,Low (1),Emergency Fund
5000,2100,1300,1600,High (3),Investment Portfolio
4700,1800,1100,1800,Medium (2),Retirement Savings
4500,1600,1000,1900,Medium (2),Down Payment
5400,2000,1400,2000,High (3),Real Estate Investment
6000,2200,1200,2600,High (3),Vacation Savings
3700,1400,900,1400,Low (1),Emergency Fund
5500,2000,1300,2200,Medium (2),Retirement Savings
4800,1800,1000,2000,Medium (2),Investment Portfolio
6500,2500,1700,2300,High (3),Real Estate Investment
3100,1100,800,1200,Low (1),Emergency Fund
4500,1500,1000,2000,Medium (2),Down Payment
5900,2400,1400,2100,Medium (2),Vacation Savings
5200,1900,1200,2100,High (3),Retirement Savings
6200,2400,1600,2200,Medium (2),Investment Portfolio
7000,3000,1800,2200,High (3),Real Estate Investment
3500,1200,1000,1300,Low (1),Emergency Fund
4000,1600,1200,1200,Medium (2),Vacation Savings
7500,2800,1700,3000,High (3),Real Estate Investment
4100,1500,1100,1500,Medium (2),Down Payment
5200,1800,1400,2000,High (3),Investment Portfolio
5800,2100,1200,2500,Medium (2),Vacation Savings
6600,2300,1700,2600,High (3),Real Estate Investment
4300,1600,1100,1600,Medium (2),Down Payment
3600,1300,900,1400,Low (1),Emergency Fund
4900,1800,1200,1900,Medium (2),Retirement Savings
7500,2500,1700,3000,High (3),Investment Portfolio
3800,1400,1100,1300,Low (1),Emergency Fund
5200,2000,1400,1800,Medium (2),Vacation Savings
